<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SAB,20171229,236.3400,236.3400,232.0565,232.1496,170350
SAB,20180102,236.5263,237.1781,232.7083,234.9432,116190
SAB,20180103,234.9432,246.7695,234.9432,246.7695,231500
SAB,20180104,249.5631,250.2150,244.9071,249.0975,238800
SAB,20180105,249.5631,250.0287,245.0002,246.1177,131870
SAB,20180108,244.9071,245.8383,241.1823,243.0447,115690
SAB,20180109,245.8383,245.8383,242.1135,243.0447,127130
SAB,20180110,243.0447,243.9759,241.1823,241.6479,82190
SAB,20180111,243.0447,245.8383,241.4617,243.0447,184000
SAB,20180112,244.9071,244.9071,241.1823,242.7653,94390
SAB,20180115,246.3520,246.3520,231.3444,245.8782,81970
SAB,20180116,245.8782,245.8782,243.5185,244.4624,152440
SAB,20180117,244.4624,245.8782,243.0466,243.5185,171960
SAB,20180118,243.3297,243.3297,239.0823,243.3297,104920
SAB,20180119,243.3297,243.5185,240.6869,241.1588,200930
SAB,20180122,240.6869,247.2940,237.4777,246.3501,184370
SAB,20180125,247.2940,247.2940,242.5746,243.5185,94990
SAB,20180126,243.5185,243.6129,237.9497,237.9497,103010
SAB,20180129,237.9497,238.4216,231.2482,231.2482,164600
SAB,20180130,230.3043,232.1921,229.8324,232.1921,95220
SAB,20180131,232.1921,237.8553,232.1921,233.1359,124310
SAB,20180201,233.1359,233.1359,229.9267,231.2482,138000
SAB,20180202,231.2482,233.1359,227.5671,233.1359,77900
SAB,20180205,231.2482,232.9471,222.7533,225.4906,126340
SAB,20180206,225.4906,225.4906,209.8224,219.6386,134250
SAB,20180207,219.7330,227.4727,219.4498,219.7330,45750
SAB,20180208,219.7330,220.8656,212.3708,212.3708,67480
SAB,20180209,212.3708,212.3708,203.8760,212.3708,96300
SAB,20180212,217.0902,219.9218,212.3708,219.9217,108810
SAB,20180213,220.8656,223.6972,219.9217,220.7712,20870
SAB,20180221,224.6411,231.2482,220.8656,227.4727,52050
SAB,20180222,226.5288,228.4166,224.4523,224.4523,121670
SAB,20180223,229.3604,229.3604,223.5084,226.5288,44180
SAB,20180226,226.5288,230.3043,223.6972,229.0773,220820
SAB,20180227,231.2482,231.2482,225.8681,227.9446,202240
SAB,20180228,228.4165,228.4165,221.9982,221.9983,101780
SAB,20180301,219.9218,221.9983,216.9958,218.9779,104990
SAB,20180302,216.4295,217.0902,215.0136,215.2024,89080
SAB,20180305,215.2024,217.8452,213.3147,213.3147,80570
SAB,20180306,213.3147,213.5035,207.1795,208.1234,259600
SAB,20180307,208.1234,211.3326,207.6515,208.5953,84500
SAB,20180308,209.5392,209.5392,207.6514,207.7458,48500
SAB,20180309,209.5392,209.6335,207.0851,208.0290,49770
SAB,20180312,209.5392,209.5392,207.6515,207.8402,41840
SAB,20180313,208.5953,208.5953,203.4040,204.8198,100580
SAB,20180314,203.8759,204.7254,196.3250,202.5545,215240
SAB,20180315,199.1566,201.9882,193.3046,201.9882,196320
SAB,20180316,206.7076,215.9575,198.2127,215.6743,442820
SAB,20180319,217.0901,221.6207,212.3708,212.3708,103660
SAB,20180320,208.6897,216.0519,206.8964,213.3147,89610
SAB,20180321,214.2586,215.2024,209.5392,213.3147,106190
SAB,20180322,213.3147,222.2815,210.4831,218.0340,199230
SAB,20180323,217.1845,223.6972,213.4090,222.1870,162010
SAB,20180326,220.8656,231.2482,220.8656,230.4931,174720
SAB,20180327,234.9293,234.9293,226.6232,230.3043,83420
SAB,20180328,230.3043,231.2482,224.6411,225.6794,104670
SAB,20180329,228.4166,228.4166,225.5850,225.6794,78840
SAB,20180330,225.6794,228.4166,225.6794,227.0952,76080
SAB,20180402,229.8324,231.2482,224.6411,224.6411,88560
SAB,20180403,224.6411,225.5850,216.1463,216.1463,65850
SAB,20180404,218.0340,218.0340,210.4831,213.3147,55540
SAB,20180405,213.4091,220.3937,210.4831,214.4473,43680
SAB,20180406,213.3147,217.0901,213.3147,214.4473,32490
SAB,20180409,211.4269,216.1463,211.4269,212.3708,43750
SAB,20180410,213.2203,219.5442,210.9550,217.0901,87150
SAB,20180411,214.3529,221.7151,214.3529,217.0901,46760
SAB,20180412,217.0901,218.0340,215.2024,217.0901,55840
SAB,20180413,216.2406,218.9778,214.7304,215.0136,73370
SAB,20180416,216.1462,217.4677,214.7304,216.6182,31290
SAB,20180417,217.2789,218.0340,215.2024,216.1463,24610
SAB,20180418,218.0340,218.0340,214.4473,215.2024,51070
SAB,20180419,215.9575,215.9575,200.2892,200.2892,77190
SAB,20180420,200.2892,210.5774,200.2892,209.5392,54550
SAB,20180423,211.4269,215.2024,203.8760,205.2918,54110
SAB,20180424,204.8199,210.4831,202.9321,204.8198,46310
SAB,20180426,208.5953,208.5953,204.8198,206.7076,33360
SAB,20180427,206.2357,208.1234,201.0443,201.0443,89760
SAB,20180502,202.9320,203.8759,201.0443,201.1387,48470
SAB,20180503,201.0443,205.2917,200.3836,205.1030,30530
SAB,20180504,206.7076,206.7076,203.8760,206.7076,19780
SAB,20180507,207.6515,221.1488,207.5571,221.1488,65630
SAB,20180508,221.1488,228.3222,217.0902,221.7151,60600
SAB,20180509,225.5850,225.6794,218.3172,220.8656,74870
SAB,20180510,218.9779,224.1691,207.6514,220.8656,66110
SAB,20180511,220.8656,222.7534,215.3912,222.7534,53000
SAB,20180514,224.6411,232.1921,217.1846,232.1921,96830
SAB,20180515,233.6079,243.5185,228.4166,235.9675,122170
SAB,20180516,235.9675,237.8553,230.3043,237.8553,48810
SAB,20180517,235.4956,237.1002,227.9446,227.9446,97390
SAB,20180518,231.7201,238.2328,228.1334,238.2328,76970
SAB,20180521,238.2328,240.7812,233.6078,236.9114,122730
SAB,20180522,233.7966,235.7788,231.2482,233.9854,79840
SAB,20180523,235.0237,236.0619,227.6615,229.3604,137620
SAB,20180524,230.3043,231.2481,219.9217,229.1717,103370
SAB,20180525,223.5085,231.0594,220.8656,220.8656,71290
SAB,20180528,215.2024,224.3579,215.2024,218.9779,51610
SAB,20180529,221.0544,221.0544,209.5392,216.1463,99830
SAB,20180530,213.0315,217.0902,208.8785,216.1463,104040
SAB,20180531,216.1463,231.2482,211.4269,226.5288,210920
SAB,20180601,229.3604,231.2482,222.9421,231.2482,77480
SAB,20180604,230.3043,231.2482,225.5850,228.0390,50940
SAB,20180605,227.5671,235.9675,225.5849,233.7022,52080
SAB,20180606,231.2481,235.7787,230.3043,233.1359,31750
SAB,20180607,233.1359,235.9675,229.3604,234.0798,35980
SAB,20180608,231.2482,235.0237,229.3604,231.2482,45080
SAB,20180611,229.3605,233.8910,228.6054,229.3604,56660
SAB,20180612,229.3604,229.3604,222.7533,225.5850,38540
SAB,20180613,225.5850,225.5850,220.8656,221.9039,25070
SAB,20180614,221.9983,224.6411,220.0161,220.0161,45510
SAB,20180615,219.9217,221.6207,215.4855,221.4319,64480
SAB,20180618,220.8656,223.6972,218.0340,218.9779,29860
SAB,20180619,217.5621,221.2432,203.7816,212.3708,112000
SAB,20180620,203.8760,215.1080,203.8760,215.1080,91770
SAB,20180621,215.1080,215.1080,209.5392,213.3147,53980
SAB,20180622,213.3147,214.2586,210.0112,213.3147,32580
SAB,20180625,213.3147,214.1642,210.8606,212.6539,30380
SAB,20180626,212.3707,212.3707,209.0672,210.1999,32870
SAB,20180627,209.6336,212.1820,209.0673,210.1999,54630
SAB,20180628,208.7841,209.5392,204.9142,207.0851,45520
SAB,20180629,207.0851,212.8427,203.9703,212.8427,69820
SAB,20180702,212.3708,217.0901,208.3121,217.0901,57880
SAB,20180703,217.0901,217.0901,212.6539,215.2968,52210
SAB,20180704,211.4269,215.2024,211.4269,213.3147,47480
SAB,20180705,214.1642,214.1642,207.6514,207.6514,25820
SAB,20180706,207.6514,209.4448,203.8759,207.6514,34770
SAB,20180709,210.3886,210.4830,206.9907,208.3121,16370
SAB,20180710,210.3886,210.3886,205.4805,207.6514,81620
SAB,20180711,208.3121,208.3121,204.9142,207.6514,78980
SAB,20180712,205.7637,208.5953,205.7637,205.8581,25860
SAB,20180713,205.7637,206.8020,201.9882,205.7637,114030
SAB,20180716,205.7637,205.7637,201.9882,205.6693,74340
SAB,20180717,203.8759,205.7637,202.0826,205.7637,63080
SAB,20180718,205.7637,205.7637,202.9321,205.6693,57210
SAB,20180719,203.9703,205.7637,202.9321,202.9321,68430
